"","year","tourn_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_seed","winner_entry","winner_name","winner_hand","winner_ht","winner_ioc","winner_age","loser_id","loser_seed","loser_entry","loser_name","loser_hand","loser_ht","loser_ioc","loser_age","score","best_of","round","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","winner_rank","winner_rank_points","loser_rank","loser_rank_points","w_serveperc","l_serveperc","w_secondserve","l_secondserve","tour"
"1","2010","580","Australian Open","Hard",128,"G",20100118,21,104022,20,NA,"Mikhail Youzhny","R",183,"RUS",27.5674195756,104755,NA,NA,"Richard Gasquet","R",185,"FRA",23.5865845311,"6-7(9) 4-6 7-6(2) 7-6(4) 6-4",5,"R128",293,12,8,188,111,79,40,28,10,16,8,9,179,105,81,30,28,4,10,20,1690,52,865,0.590425531914894,0.58659217877095,0.896103896103896,0.878378378378378,"ATP"
"2","2010","580","Australian Open","Hard",128,"G",20100118,49,104918,5,NA,"Andy Murray","R",190,"GBR",22.6803559206,104731,NA,"Q","Kevin Anderson","R",203,"RSA",23.6714579055,"6-1 6-1 6-2",5,"R128",97,9,1,65,24,21,24,11,3,4,2,2,74,50,26,6,11,4,12,4,6780,148,347,0.369230769230769,0.675675675675676,0.975609756097561,0.916666666666667,"ATP"
"3","2010","580","Australian Open","Hard",128,"G",20100118,53,104545,33,NA,"John Isner","R",206,"USA",24.7310061602,104312,NA,NA,"Andreas Seppi","R",190,"ITA",25.9082819986,"6-3 6-3 3-6 5-7 6-4",5,"R128",197,34,5,155,95,74,29,25,6,9,10,10,141,79,60,35,24,3,6,28,1260,49,900,0.612903225806452,0.560283687943262,0.916666666666667,0.838709677419355,"ATP"
"4","2010","580","Australian Open","Hard",128,"G",20100118,107,105227,14,NA,"Marin Cilic","R",198,"CRO",21.3059548255,104527,19,NA,"Stan Wawrinka","R",183,"SUI",24.810403833,"4-6 6-4 6-3 6-3",5,"R32",200,10,2,115,68,55,24,19,5,7,10,6,128,69,52,26,19,5,10,14,2430,19,1765,0.591304347826087,0.5390625,0.957446808510638,0.898305084745763,"ATP"
"5","2010","580","Australian Open","Hard",128,"G",20100118,110,104545,33,NA,"John Isner","R",206,"USA",24.7310061602,104792,12,NA,"Gael Monfils","R",193,"FRA",23.3812457221,"6-1 4-6 7-6(4) 7-6(5)",5,"R32",168,26,3,131,87,69,24,21,4,7,12,7,126,76,54,26,20,1,5,28,1260,12,2610,0.66412213740458,0.603174603174603,0.931818181818182,0.86,"ATP"
"6","2010","580","Australian Open","Hard",128,"G",20100118,112,104745,2,NA,"Rafael Nadal","L",185,"ESP",23.627652293,104259,27,NA,"Philipp Kohlschreiber","R",178,"GER",26.2587268994,"6-4 6-2 2-6 7-5",5,"R32",210,6,3,138,84,58,28,19,12,15,11,4,128,78,53,24,19,7,12,2,9310,26,1260,0.608695652173913,0.609375,0.944444444444444,0.92,"ATP"
"7","2010","580","Australian Open","Hard",128,"G",20100118,118,105227,14,NA,"Marin Cilic","R",198,"CRO",21.3059548255,105223,4,NA,"Juan Martin del Potro","R",198,"ARG",21.3196440794,"5-7 6-4 7-5 5-7 6-3",5,"R16",278,20,7,173,101,84,34,28,7,10,19,3,181,108,78,40,27,12,16,14,2430,5,6580,0.583815028901734,0.596685082872928,0.902777777777778,0.958904109589041,"ATP"
"8","2010","580","Australian Open","Hard",128,"G",20100118,119,104918,5,NA,"Andy Murray","R",190,"GBR",22.6803559206,104545,33,NA,"John Isner","R",206,"USA",24.7310061602,"7-6(4) 6-3 6-2",5,"R16",132,5,1,90,65,53,17,15,4,4,14,2,89,61,43,8,14,3,5,4,6780,28,1260,0.722222222222222,0.685393258426966,0.96,0.928571428571429,"ATP"
"9","2010","580","Australian Open","Hard",128,"G",20100118,122,104542,10,NA,"Jo-Wilfried Tsonga","R",188,"FRA",24.7556468172,104925,3,NA,"Novak Djokovic","R",188,"SRB",22.6611909651,"7-6(8) 6-7(5) 1-6 6-3 6-1",5,"QF",232,19,2,168,109,74,28,23,10,16,2,9,145,100,67,22,24,4,11,10,2875,3,8310,0.648809523809524,0.689655172413793,0.966101694915254,0.8,"ATP"
"10","2010","580","Australian Open","Hard",128,"G",20100118,124,104918,5,NA,"Andy Murray","R",190,"GBR",22.6803559206,104745,2,NA,"Rafael Nadal","L",185,"ESP",23.627652293,"6-3 7-6(2) 3-0 RET",5,"QF",150,12,1,97,57,44,18,13,10,12,1,1,72,48,30,10,11,6,10,4,6780,2,9310,0.587628865979381,0.666666666666667,0.975,0.958333333333333,"ATP"
"11","2010","580","Australian Open","Hard",128,"G",20100118,125,103819,1,NA,"Roger Federer","R",185,"SUI",28.4462696783,104542,10,NA,"Jo-Wilfried Tsonga","R",188,"FRA",24.7556468172,"6-2 6-3 6-2",5,"SF",88,4,0,69,44,37,17,13,0,0,6,5,70,42,28,11,12,5,10,1,10550,10,2875,0.63768115942029,0.6,1,0.821428571428571,"ATP"
"12","2010","580","Australian Open","Hard",128,"G",20100118,126,104918,5,NA,"Andy Murray","R",190,"GBR",22.6803559206,105227,14,NA,"Marin Cilic","R",198,"CRO",21.3059548255,"3-6 6-4 6-4 6-2",5,"SF",182,4,1,107,68,51,23,19,6,9,6,6,124,70,49,24,18,11,16,4,6780,14,2430,0.635514018691589,0.564516129032258,0.974358974358974,0.888888888888889,"ATP"
"13","2010","580","Australian Open","Hard",128,"G",20100118,127,103819,1,NA,"Roger Federer","R",185,"SUI",28.4462696783,104918,5,NA,"Andy Murray","R",190,"GBR",22.6803559206,"6-3 6-4 7-6(11)",5,"F",161,11,2,112,75,54,22,16,6,8,10,4,104,58,40,24,15,8,12,1,10550,4,6780,0.669642857142857,0.557692307692308,0.945945945945946,0.91304347826087,"ATP"
"14","2010","520","Roland Garros","Clay",128,"G",20100524,17,104918,4,NA,"Andy Murray","R",190,"GBR",23.0253251198,104755,NA,NA,"Richard Gasquet","R",185,"FRA",23.9315537303,"4-6 6-7(5) 6-4 6-2 6-1",5,"R128",244,17,8,165,77,56,49,24,9,12,13,5,158,86,57,34,23,9,16,4,5565,45,920,0.466666666666667,0.544303797468354,0.909090909090909,0.930555555555556,"ATP"
"15","2010","520","Roland Garros","Clay",128,"G",20100524,68,104926,NA,NA,"Fabio Fognini","R",178,"ITA",23.0006844627,104792,13,NA,"Gael Monfils","R",193,"FRA",23.7262149213,"2-6 4-6 7-5 6-4 9-7",5,"R64",256,3,7,167,110,74,25,28,8,16,15,5,200,129,80,32,28,11,19,92,570,15,2220,0.658682634730539,0.645,0.87719298245614,0.929577464788732,"ATP"
"16","2010","520","Roland Garros","Clay",128,"G",20100524,88,104925,3,NA,"Novak Djokovic","R",188,"SRB",23.0061601643,105453,NA,NA,"Kei Nishikori","R",178,"JPN",20.3997262149,"6-1 6-4 6-4",5,"R64",160,3,9,117,74,53,15,14,7,9,1,1,95,57,32,17,13,8,14,3,6405,246,190,0.632478632478632,0.6,0.790697674418605,0.973684210526316,"ATP"
